Default Dataset,
X,Y
-90,0
-80,0
-79,3.9358689695343116
-78,5.538352153163572
-77,7.51497512747838
-76,9.745877647245479
-75,12.292065275427547
-74,14.899719394221762
-73,17.578594443340748
-72,20.13876707810489
-71,22.36408059549389
-70,24.45099578679364
-69,26.474642354291262
-68,28.483759195660085
-67,30.425785027864748
-66,32.39373598556381
-65,34.30147709832093
-64,36.13820110177312
-63,37.99855577079592
-62,39.792000506513986
-61.00000000000001,41.607211546927985
-60,43.4455173600022
-59.00000000000001,45.35888172907103
-58.00000000000001,47.088210354361635
-57.00000000000001,48.81614831189715
-56.00000000000001,50.62017536111193
-55,52.25414236926767
-53.99999999999999,53.9281996506039
-53.000000000000014,55.46058884575507
-52.00000000000001,57.11647202008555
-51,58.68866329335154
-50.00000000000001,60.25268391948664
-49,61.75206811376141
-48.00000000000001,63.24006690487998
-47.00000000000001,64.68382816801741
-46.00000000000001,66.13381351477155
-45,67.57635203165617
-44,68.91591015231812
-43.000000000000014,70.25534418955117
-42.00000000000001,71.59477822653272
-41.00000000000001,72.93421250091063
-40,74.27299653886072
-39,75.4030227615118
-38.00000000000001,76.75134968154697
-37.00000000000001,77.86540711195619
-36,78.99277835790355
-35.00000000000001,80.1040013304549
-34.00000000000001,81.23556074260028
-33.00000000000001,82.25907520474323
-32,83.3977436470959
-31,84.33325934104663
-30,85.43266773551028
-29,86.34449833302065
-28.000000000000014,87.25227635875808
-27,88.14718009896002
-26.000000000000014,89.07818768923141
-25,89.93916841550129
-24,90.66269628153083
-23.000000000000014,91.42254651070934
-22.000000000000014,92.28780674158926
-21.000000000000014,92.97663672940433
-20,93.6306257149154
-19.000000000000014,94.19316263152453
-18.000000000000014,94.8500494437222
-17.000000000000014,95.49409057024094
-16.000000000000014,95.98077140419515
-15.000000000000014,96.5484682798058
-14.000000000000014,97.00973081928275
-13,97.47904266041091
-12,97.82533873987765
-11.000000000000014,98.27735550046579
-10.000000000000014,98.61930800680265
-9.000000000000014,98.97129208067517
-8.000000000000014,99.21436151993159
-7.000000000000014,99.45340451460189
-6.000000000000014,99.64179685980811
-5,99.74653629358798
-4.000000000000014,99.75589034881607
-3,99.85422430229771
-2,99.85424018417578
-1.0000000000000284,99.854240188177
-1.4210854715202004e-14,99.85424018817726
0.9999999999999858,99.85424018828189
1.9999999999999858,99.85424045197615
3,99.85398228909254
3.999999999999986,99.74776566873865
4.999999999999972,99.68110476304363
6,99.64717552849402
6.999999999999986,99.41252390604649
8,99.10693539654046
8.999999999999986,98.77721041662346
9.999999999999972,98.46779330435359
10.999999999999986,98.12378670113321
11.999999999999986,97.6474486395224
12.999999999999986,97.29798763138028
13.999999999999986,96.75784918294808
14.999999999999986,96.29617003111521
15.999999999999972,95.71845442888393
16.999999999999986,95.27376338530735
18,94.60575812345812
18.99999999999997,93.98641103248917
19.99999999999997,93.35684890279592
20.99999999999997,92.70083584983223
21.999999999999986,91.8493363203093
22.999999999999986,91.05448744115368
23.999999999999986,90.36958062147978
25,89.4774664833968
26,88.65048804693697
27.000000000000014,87.80538612545877
27.999999999999986,86.83968512882008
28.99999999999997,85.8406504509833
29.999999999999986,84.89853403364148
30.999999999999986,83.98435108277127
31.99999999999997,82.87893674125068
32.99999999999997,81.83869701460151
34,80.79456884273706
35,79.70008303624934
35.99999999999997,78.49245178799828
37,77.34882746303343
37.99999999999997,76.22534820279202
39,74.88068932113194
39.99999999999997,73.76680173907769
41,72.4152585679884
41.99999999999997,71.07582102848647
42.99999999999997,69.735893787732
44,68.61264230193132
45,67.16079529994595
46,65.71809148680696
46.99999999999997,64.27317847293875
47.99999999999997,62.837295999734465
48.99999999999997,61.26682600887105
49.99999999999997,59.713979477284795
51,58.1648875658271
51.99999999999997,56.533731399278906
52.99999999999997,54.95479160549256
54,53.38860390277648
55,51.62254159589665
56,49.91205301219023
57,48.310256492069655
57.99999999999994,46.571813813437885
59,44.81252244561304
59.99999999999997,43.02143594786422
61,41.22573747188517
61.99999999999997,39.39631417877243
62.99999999999997,37.52463340867136
64,35.74091138560023
64.99999999999997,33.95871948926097
66,32.02889827347762
67,30.232574484753073
67.99999999999997,28.343768837908144
69,26.44609964919593
69.99999999999997,24.543394363565653
71,22.63770289195962
71.99999999999997,20.735823244587806
72.99999999999994,18.61198702086179
73.99999999999997,16.209550543352606
74.99999999999997,13.52992641368516
75.99999999999997,10.850589535522005
76.99999999999997,8.60661506858203
77.99999999999997,6.646930681484619
78.99999999999997,4.443392677365523
80,0
90,0
