$,current,cri,temperature,voltage,brand,lumens,serial_number,note,ppf,model,spectrum
12.834,0.8,70.0,4000.0,36.0,Cree,4230.0,CXB2530,,,CXA2,Cree CXB2530 4000K 70CRI.csv
32.95,1.9,90.0,3000.0,36.0,Cree,7390.0,CXB3070-0000-000N0UZ230G,,,CXA2,Cree CXB3070 3000K 90CRI.csv
36.06,1.9,80.0,3000.0,36.0,Cree,9000.0,CXB3070-0000-000N0HAD30G,,,CXA2,Cree CXB3070 3000K 80CRI.csv
41.19,2.4,70.0,5000.0,36.0,Cree,12000.0,CXB3590-0000-000R0BCD50e,,,CXA2,Cree CXB3590 5000K 70CRI.csv
2.565,0.8,80.0,3000.0,9.0,Cree,840.0,MHDEWT-0000-000N0HG430G,,,MH,Cree MHD-E 3000K 80CRI.csv
3.58,0.35,70.0,5000.0,26.0,Bridgelux,1556.0,BXRC-50C1001-D-74,,,Vero 10,Bridgelux Vero 5000K 70CRI.csv
3.58,0.35,80.0,4000.0,26.0,Bridgelux,1420.0, BXRC-40E1000-D-73 ,,,Vero 10,Bridgelux Vero 4000K 80CRI.csv
3.58,0.35,90.0,3000.0,25.3,Bridgelux,1020.0, BXRC-30G1000-D-73,,,Vero 10,Bridgelux Vero 3000K 90CRI.csv
3.58,0.35,80.0,3000.0,25.3,Bridgelux,1229.0,BXRC-30E1000-D-73,,,Vero 10,Bridgelux Vero 3000K 80CRI.csv
15.11,2.5,80.0,4000.0,35.1,Bridgelux,7789.0,BXRC-40E1000-D-73,,,H,Bridgelux Vero 4000K 80CRI.csv
5.82,0.5,80.0,3000.0,30.9,Bridgelux,2232.0,BXRC-30E2000-D-73,,,Vero 13,Bridgelux Vero 3000K 80CRI.csv
5.82,0.5,80.0,2700.0,30.9,Bridgelux,2129.0,BXRC-27E2000-D-73,,,Vero 13,Bridgelux Vero 2700K 80CRI.csv
9.79,1.05,80.0,3000.0,28.3,Bridgelux,4248.0,BXRC-30E4000-D-73,,,Vero 18,Bridgelux Vero 3000K 80CRI.csv
13.3,0.5,80.0,3000.0,48.8,Bridgelux,4336.0,BXRE-30e6500-C-73,,,V22,Bridgelux V22 3000K 80CRI.csv
3.685,0.35,90.0,3000.0,26.5,Bridgelux,908.0,BXRC-30G1000-B-23,,,Vero 10,Bridgelux Vero 3000K 90CRI.csv
4.503,0.33,90.0,3000.0,33.7,Bridgelux,1288.0,BXRC-30G1000-C-73,,,Vero 10,Bridgelux Vero 3000K 90CRI.csv
21.5,1.75,70.0,4000.0,37.6,Citizen,8038.0,CLU731-1210C4-403M2K1,,,CLU731,Bridgelux Vero 4000K 70CRI.csv
14.51,0.54,70.0,3000.0,34.6,Citizen,2897.0,CLU038-1206C4-30AL7K3,,,CLU0,Citizen CLU0X8 3000K 70CRI.csv
6.08,0.27,70.0,3000.0,34.6,Citizen,1428.0,CLU028-1203C4-30AL7K3,Minimum order of 54,,CLU0,Citizen CLU0X8 3000K 70CRI.csv
28.49,1.08,70.0,3000.0,34.6,Citizen,5877.0,CLU048-1212C4-30AL7K3,,,CLU0,Citizen CLU0X8 3000K 70CRI.csv
9.4325,0.45,70.0,3000.0,34.6,Citizen,2357.0,CLU036-1205C1-30AL7G4,Minimum order of 48,,CLU0,Citizen CLU0X8 3000K 70CRI.csv
3.57,0.09,70.0,3000.0,34.6,Citizen,491.0,CLU028-1201C4-30AL7K3,Minimum order of 54,,CLU0,Citizen CLU0X8 3000K 70CRI.csv
12.12,0.45,70.0,3000.0,34.6,Citizen,2439.0,CLU038-1205C4-30AL7K3,,,CLU0,Citizen CLU0X8 3000K 70CRI.csv
4.83,0.72,80.0,3000.0,37.2,Luminus,4940.0,CHM-11-30-80-36-XH20-F3-3,"Minimum of 1,125 LED/order",,XNova,Luminus XNova CHM11 3000K 80CRI.csv
6.73,0.96,90.0,3000.0,36.0,Luminus,2815.0,CHM-11-30-90-36-XH00-F2-3,,,XNova,Luminus XNova CHM11 3000K 90CRI.csv
3.65,0.48,80.0,3000.0,27.4,Luminus,1590.0,CHM-6-30-80-27-XH20-F3-3,,,XNova,Luminus XNova CHM11 3000K 80CRI.csv
9.88,0.99,70,3000,34,Citizen,5540,CLU048-1211C4-30AL7M4-F1,,,CLU-048-1212C4,Citizen CLU048-1212C4 3000K 70CRI.csv
9.63,1.4,80,3000,33.4,Bridgelux,6846,BXRE-30E6500-D-73,,,V22,Bridgelux V22 3000K 80CRI.csv
